"Name","Team","TGT","TGT%","REC","REC%","CATCH%","TDS","TD%","TGT","TGT%","REC","REC%","CATCH%","TDS","TD%"
"Kevin Austin Jr.","NO","2","8.7%","1","7.7%","50.0%","1","100.0%","1","4.3%","1","7.7%","100.0%","1","100.0%"
"Bam Knight","ARI","6","19.4%","4","18.2%","66.7%","1","100.0%","1","3.2%","0","0.0%","0.0%","0","0.0%"
"Sean Tucker","TB","3","27.3%","1","12.5%","33.3%","0","0.0%","1","9.1%","0","0.0%","0.0%","0","0.0%"
"Emanuel Wilson","GB","2","11.8%","1","6.7%","50.0%","0","0.0%","1","5.9%","0","0.0%","0.0%","0","0.0%"
"Mitch Tinsley","CIN","5","20.8%","2","25.0%","40.0%","2","100.0%","1","4.2%","0","0.0%","0.0%","0","0.0%"
"Josh Whyle","GB","1","16.7%","1","20.0%","100.0%","1","100.0%","1","16.7%","1","20.0%","100.0%","1","100.0%"
"Scott Matlock","LAC","1","25.0%","1","25.0%","100.0%","1","100.0%","1","25.0%","1","25.0%","100.0%","1","100.0%"
"Nate Adkins","DEN","2","18.2%","1","16.7%","50.0%","1","100.0%","1","9.1%","0","0.0%","0.0%","0","0.0%"
"Dylan Drummond","ATL","3","27.3%","1","14.3%","33.3%","0","0.0%","1","9.1%","0","0.0%","0.0%","0","0.0%"
"Caleb Williams","CHI","1","50.0%","1","50.0%","100.0%","1","100.0%","1","50.0%","1","50.0%","100.0%","1","100.0%"
"Adonai Mitchell","NYJ","7","9.5%","3","9.1%","42.9%","1","50.0%","1","1.4%","1","3.0%","100.0%","1","50.0%"
"Bucky Irving","TB","4","11.4%","3","10.0%","75.0%","1","33.3%","1","2.9%","1","3.3%","100.0%","1","33.3%"
"Devontez Walker","BAL","1","12.5%","1","16.7%","100.0%","1","33.3%","1","12.5%","1","16.7%","100.0%","1","33.3%"
"Malachi Corley","CLE","1","7.1%","1","9.1%","100.0%","0","0.0%","1","7.1%","1","9.1%","100.0%","0","0.0%"
"Ben Sinnott","WAS","1","7.7%","1","9.1%","100.0%","1","100.0%","1","7.7%","1","9.1%","100.0%","1","100.0%"
"Luke McCaffrey","WAS","2","13.3%","1","9.1%","50.0%","1","33.3%","1","6.7%","1","9.1%","100.0%","1","33.3%"
"Konata Mumpfield","LAR","4","17.4%","3","30.0%","75.0%","1","100.0%","1","4.3%","1","10.0%","100.0%","1","100.0%"
"Tyrone Tracy Jr.","NYG","5","10.4%","4","11.1%","80.0%","2","100.0%","1","2.1%","1","2.8%","100.0%","0","0.0%"
"Devin Culp","TB","1","100.0%","1","100.0%","100.0%","1","100.0%","1","100.0%","1","100.0%","100.0%","1","100.0%"
