"Name","Team","Games Played","RB PTS%","ATT%","YD%","TD%","TGT%","REC%","YD%","TD%"
"Miles Sanders","DAL","4","24.7","23.8","26.9","20.0","4.8","6.5","2.6","0.0"
"Tyler Allgeier","ATL","17","24.6","32.6","25.0","53.3","3.1","4.2","2.6","0.0"
"Najee Harris","LAC","3","24.0","26.3","30.0","0.0","2.8","4.2","2.9","0.0"
"Emari Demercado","ARI","13","23.7","19.2","30.9","0.0","4.4","4.1","3.2","4.5"
"Samaje Perine","CIN","15","23.2","28.8","31.1","33.3","3.9","4.6","2.3","0.0"
"Antonio Gibson","NE","5","22.1","26.3","29.0","25.0","2.0","1.8","0.5","0.0"
"Braelon Allen","NYJ","4","22.0","24.0","22.3","100.0","2.9","2.8","2.3","0.0"
"Malik Davis","DAL","10","21.8","21.7","23.0","25.0","1.4","0.8","0.5","0.0"
"Jaret Patterson","LAC","6","21.2","28.1","27.9","20.0","2.3","2.6","0.7","0.0"
"Isaiah Davis","NYJ","16","20.2","13.7","16.6","16.7","6.3","7.3","6.8","0.0"
"Jeremy McNichols","WAS","17","19.9","12.8","14.1","6.7","7.2","8.7","5.9","0.0"
"Jaleel McLaughlin","DEN","8","19.2","22.8","31.1","16.7","2.2","2.1","1.4","0.0"
"Ty Johnson","BUF","17","18.9","11.9","9.5","20.0","6.9","7.0","6.6","6.9"
"Brashard Smith","KC","17","18.7","13.1","12.1","0.0","6.4","6.9","4.3","4.3"
"Jaylen Wright","MIA","10","18.5","26.5","21.8","22.2","3.8","3.1","2.4","0.0"
"Tank Bigsby","JAX","17","18.3","17.3","21.3","25.0","0.8","0.9","0.9","0.0"
"Jaydon Blue","DAL","5","17.1","34.9","26.6","16.7","0.7","1.0","0.4","0.0"
"Corey Kiner","ARI","4","16.6","18.5","19.7","0.0","2.3","2.3","1.6","0.0"
"Keaton Mitchell","BAL","13","15.2","17.7","20.1","6.7","4.0","4.5","2.7","0.0"
"Brittain Brown","CHI","3","13.5","6.3","9.1","25.0","1.1","0.0","0.0","0.0"
"Ray Davis","BUF","17","13.3","13.8","13.1","0.0","2.7","2.9","2.2","6.9"
"Trayveon Williams","LAC","7","13.0","6.9","6.9","0.0","5.0","7.0","4.9","0.0"
"Jerome Ford","CLE","13","12.4","8.5","7.5","0.0","7.6","10.1","4.1","0.0"
"Ollie Gordon II","MIA","17","12.3","18.4","10.8","23.1","1.9","2.2","1.0","4.3"
"Terrell Jennings","NE","7","12.3","13.9","10.4","25.0","0.5","0.7","0.5","0.0"
"Brian Robinson","SF","17","12.2","22.7","25.0","16.7","2.2","2.0","0.6","0.0"
"Zavier Scott","MIN","16","12.0","9.8","8.1","0.0","3.6","4.9","3.2","6.3"
"Ty Chandler","MIN","3","11.8","22.4","15.9","0.0","6.3","7.0","2.5","0.0"
"Zamir White","LV","6","11.4","9.6","7.7","0.0","3.1","3.2","1.8","0.0"
"Raheem Mostert","LV","12","11.4","10.8","13.1","0.0","3.6","5.0","3.2","0.0"
"Connor Heyward","PIT","17","10.5","62.5","38.1","66.7","0.8","0.8","0.6","3.8"
