"Player","Rank","Total Points","Team","2025","2024","2023","2022","2021","2020","2019","2018","2017","2016"
"Derrick Henry","1","2384.8799999999997","BAL","7","2","8","4","16","2","3","14","31","42"
"Christian McCaffrey","2","2214.26","SF","1","72","1","2","39","53","1","3","11",""
"Alvin Kamara","3","2052.32","NO","50","12","14","18","8","1","12","4","3",""
"Saquon Barkley","4","1748.6999999999998","PHI","13","1","12","6","32","119","10","2","",""
"Aaron Jones Sr.","5","1628.4","MIN","43","16","37","9","12","5","2","23","55",""
"Josh Jacobs","6","1563","GB","15","5","27","3","14","8","18","","",""
"Jonathan Taylor","7","1483.2","IND","2","9","33","34","1","6","","","",""
"James Conner","8","1424.5","ARI","78","10","18","20","5","26","33","6","107",""
"David Montgomery","9","1295.24","HOU","27","18","13","23","21","4","25","","",""
"Tony Pollard","10","1123.4","TEN","23","22","15","7","28","41","52","","",""
"D'Andre Swift","11","1108.7","CHI","14","19","23","22","19","18","","","",""
"Devin Singletary","12","932.94","NYG","44","48","31","24","20","34","31","","",""
"Jahmyr Gibbs","13","908.4","DET","4","3","10","","","","","","",""
"Bijan Robinson","14","895.8","ATL","3","4","9","","","","","","",""
"James Cook III","15","881.3","BUF","5","8","11","45","","","","","",""
"Najee Harris","16","853.3599999999999","NYG","105","20","21","14","4","","","","",""
"Travis Etienne Jr.","17","793.6","NO","10","37","3","17","","","","","",""
"Kyren Williams","18","780.4000000000001","LAR","9","6","6","92","","","","","",""
"Breece Hall","19","778.16","NYJ","18","17","4","42","","","","","",""
"Rhamondre Stevenson","20","777.4","NE","25","27","36","11","41","","","","",""
"De'Von Achane","21","745.4000000000001","MIA","6","7","24","","","","","","",""
"Javonte Williams","22","736.3000000000001","DAL","11","31","30","84","17","","","","",""
"Kenneth Walker","23","717.5","KC","22","28","19","16","","","","","",""
"Chuba Hubbard","24","711.3000000000001","CAR","42","13","26","50","33","","","","",""
"Rachaad White","25","647.1","WAS","35","24","7","38","","","","","",""
"Samaje Perine","26","590.4000000000001","CIN","57","54","43","37","62","67","136","122","44",""
"Jaylen Warren","27","553.4","PIT","17","41","25","51","","","","","",""
"J.K. Dobbins","28","546.1","DEN","39","23","108","52","","21","","","",""
"Chase Brown","29","534.6","CIN","8","14","63","","","","","","",""
"Brian Robinson","30","505.59999999999997","ATL","61","29","22","41","","","","","",""
"Kenny Gainwell","31","505.0799999999999","TB","20","61","51","54","42","","","","",""
"Tyler Allgeier","32","498.69999999999993","ARI","40","42","34","28","","","","","",""
"Rico Dowdle","33","481.5","PIT","16","21","50","","","145","","","",""
"AJ Dillon","34","475.7","CAR","114","","40","25","23","79","","","",""
"Isiah Pacheco","35","449.1","DET","55","63","16","36","","","","","",""
"Ty Johnson","36","443.2","BUF","49","49","82","80","47","70","71","","",""
"Zach Charbonnet","37","432.9","SEA","24","26","47","","","","","","",""
"Bucky Irving","38","356.4","TB","33","15","","","","","","","",""
"Justice Hill","39","348.1","BAL","63","40","44","81","","124","73","","",""
"Jerome Ford","40","336.49999999999994","","75","35","17","153","","","","","",""
"Jordan Mason","41","318.40000000000003","MIN","34","34","66","85","","","","","",""
"Tyrone Tracy Jr.","42","318.1","NYG","28","25","","","","","","","",""
"Tyjae Spears","43","315.6","TEN","48","43","35","","","","","","",""
"Ashton Jeanty","44","223.6","LV","12","","","","","","","","",""
"Tank Bigsby","45","209.10000000000002","PHI","62","32","87","","","","","","",""
"TreVeyon Henderson","46","194.7","NE","19","","","","","","","","",""
"Emanuel Wilson","47","193.3","SEA","47","45","101","","","","","","",""
"RJ Harvey","48","183.1","DEN","21","","","","","","","","",""
"Ray Davis","49","169.7","BUF","58","39","","","","","","","",""
"Sean Tucker","50","161.8","TB","46","55","123","","","","","","",""
"Emari Demercado","51","161.3","DAL","64","65","58","","","","","","",""
"Quinshon Judkins","52","159.8","CLE","26","","","","","","","","",""
"Chris Rodriguez Jr.","53","158.4","JAX","45","79","72","","","","","","",""
"Blake Corum","54","151.2","LAR","37","82","","","","","","","",""
"Kimani Vidal","55","149.1","LAC","38","81","","","","","","","",""
"Kyle Monangai","56","143.7","CHI","29","","","","","","","","",""
"Jacory Croskey-Merritt","57","141.8","WAS","30","","","","","","","","",""
"Woody Marks","58","139.1","HOU","32","","","","","","","","",""
"Omarion Hampton","59","122.7","LAC","36","","","","","","","","",""
"Keaton Mitchell","60","122.6","LAC","66","114","57","","","","","","",""
"Cam Skattebo","61","115.7","NYG","41","","","","","","","","",""
"Isaiah Davis","62","102.1","NYJ","59","71","","","","","","","",""
"Braelon Allen","63","90","NYJ","97","51","","","","","","","",""
"Audric Estimé","64","88.30000000000001","NO","72","67","","","","","","","",""
"Bhayshul Tuten","65","83.6","JAX","51","","","","","","","","",""
"Malik Davis","66","74","DAL","71","","","86","","","","","",""
"Jaylen Wright","67","73.9","MIA","69","90","","","","","","","",""
"Chris Brooks","68","73.5","GB","82","74","109","","","","","","",""
"Dylan Sampson","69","71.1","CLE","56","","","","","","","","",""
"Devin Neal","70","51.5","NO","65","","","","","","","","",""
"Brashard Smith","71","50.8","KC","67","","","","","","","","",""
"Ollie Gordon II","72","50.6","MIA","68","","","","","","","","",""
"Will Shipley","73","26.7","PHI","99","103","","","","","","","",""
"George Holani","74","21.2","SEA","90","132","","","","","","","",""
"Jaydon Blue","75","19.9","PHI","89","","","","","","","","",""
"LeQuint Allen Jr.","76","19.8","JAX","91","","","","","","","","",""
"Trevor Etienne","77","12.2","CAR","101","","","","","","","","",""
"DJ Giddens","78","9.6","IND","108","","","","","","","","",""
"Kaleb Johnson","79","8.3","GB","111","","","","","","","","",""
"Jonathon Brooks","80","6","CAR","","116","","","","","","","",""
"Tahj Brooks","81","5.9","CIN","120","","","","","","","","",""
"MarShawn Lloyd","82","2.3","GB","","128","","","","","","","",""
