"Name","Team","ATT","ATT%","TDS","TD%","TEAM%","ATT","ATT%","TDS","TD%","TEAM%"
"Emanuel Wilson","GB","8","6.4%","2","66.7%","18.2%","4","3.2%","2","66.7%","15.4%"
"Jaylen Wright","MIA","6","8.6%","2","100.0%","18.8%","4","5.7%","2","100.0%","25.0%"
"Raheim Sanders","CLE","5","18.5%","1","100.0%","15.2%","4","14.8%","1","100.0%","18.2%"
"Joe Flacco","CIN","6","28.6%","1","100.0%","14.3%","3","14.3%","1","100.0%","13.0%"
"Marcus Mariota","WAS","3","6.0%","1","100.0%","5.7%","3","6.0%","1","100.0%","8.8%"
"Jacoby Brissett","ARI","5","13.2%","1","100.0%","14.3%","3","7.9%","1","100.0%","15.8%"
"James Conner","ARI","3","9.4%","1","100.0%","42.9%","3","9.4%","1","100.0%","60.0%"
"Aaron Jones Sr.","MIN","6","4.5%","2","100.0%","35.3%","3","2.3%","2","100.0%","30.0%"
"Dare Ogunbowale","HOU","4","36.4%","1","100.0%","11.8%","3","27.3%","1","100.0%","13.0%"
"Mark Andrews","BAL","3","30.0%","0","0.0%","5.8%","3","30.0%","0","0.0%","9.1%"
"Justin Herbert","LAC","6","7.2%","2","100.0%","17.6%","3","3.6%","2","100.0%","15.0%"
"Justin Fields","NYJ","5","7.0%","3","75.0%","23.8%","3","4.2%","3","75.0%","42.9%"
"Michael Carter","ARI","4","4.3%","1","100.0%","14.3%","3","3.3%","1","100.0%","21.4%"
"Jerome Ford","CLE","4","16.7%","0","0.0%","14.3%","3","12.5%","0","0.0%","16.7%"
"Drake Maye","NE","14","13.6%","4","100.0%","25.0%","3","2.9%","1","25.0%","11.1%"
"Audric Estimé","NO","5","10.9%","0","0.0%","20.0%","3","6.5%","0","0.0%","21.4%"
"Tyler Warren","IND","3","50.0%","1","100.0%","5.2%","3","50.0%","1","100.0%","8.6%"
"Aaron Rodgers","PIT","2","9.5%","1","100.0%","4.3%","2","9.5%","1","100.0%","6.9%"
"Geno Smith","LV","2","4.9%","0","0.0%","10.5%","2","4.9%","0","0.0%","16.7%"
"C.J. Ham","MIN","2","66.7%","2","100.0%","10.5%","2","66.7%","2","100.0%","16.7%"
"Alvin Kamara","NO","6","4.6%","0","0.0%","17.6%","2","1.5%","0","0.0%","12.5%"
"Patrick Mahomes","KC","6","9.4%","3","60.0%","14.6%","2","3.1%","1","20.0%","9.5%"
"Lamar Jackson","BAL","5","7.5%","1","50.0%","9.6%","2","3.0%","0","0.0%","6.1%"
"Sam Darnold","SEA","4","11.4%","0","0.0%","8.3%","2","5.7%","0","0.0%","6.9%"
"Antonio Gibson","NE","2","8.0%","1","100.0%","13.3%","2","8.0%","1","100.0%","28.6%"
"Jaret Patterson","LAC","2","4.9%","1","100.0%","12.5%","2","4.9%","1","100.0%","16.7%"
"Kene Nwangwu","NYJ","3","23.1%","0","0.0%","12.0%","2","15.4%","0","0.0%","22.2%"
"Bryce Young","CAR","5","9.3%","2","100.0%","17.9%","2","3.7%","1","50.0%","16.7%"
"Brian Robinson","SF","4","4.3%","1","50.0%","8.7%","2","2.2%","1","50.0%","7.7%"
"Jayden Daniels","WAS","2","3.4%","2","100.0%","3.8%","2","3.4%","2","100.0%","5.9%"
"Brock Purdy","SF","3","9.1%","3","100.0%","6.5%","2","6.1%","2","66.7%","7.7%"
"Michael Penix Jr.","ATL","3","14.3%","1","100.0%","12.0%","2","9.5%","1","100.0%","15.4%"
"Julius Chestnut","TEN","2","18.2%","0","0.0%","6.9%","2","18.2%","0","0.0%","16.7%"
"Malik Davis","DAL","4","7.7%","1","50.0%","12.9%","2","3.8%","1","50.0%","9.5%"
"Rashee Rice","KC","3","60.0%","1","100.0%","10.3%","2","40.0%","1","100.0%","14.3%"
"Tyjae Spears","TEN","5","6.9%","2","100.0%","23.8%","2","2.8%","2","100.0%","28.6%"
