"Name","Team","ATT","ATT%","CMP","CMP%","TDS","TD%","ATT","ATT%","CMP","CMP%","TDS","TD%"
"Josh Johnson","WAS","5","9.3%","2","5.9%","1","100.0%","4","7.4%","1","2.9%","1","100.0%"
"Teddy Bridgewater","TB","5","33.3%","2","25.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%"
"Mason Rudolph","PIT","5","9.6%","4","10.5%","2","100.0%","2","3.8%","2","5.3%","2","100.0%"
"Trey Lance","LAC","4","7.0%","0","0.0%","0","0.0%","1","1.8%","0","0.0%","0","0.0%"
"Chris Oladokun","KC","4","7.3%","2","5.7%","1","100.0%","3","5.5%","1","2.9%","1","100.0%"
"Taysom Hill","NO","2","33.3%","0","0.0%","0","0.0%","2","33.3%","0","0.0%","0","0.0%"
"David Montgomery","DET","2","100.0%","1","100.0%","1","100.0%","2","100.0%","1","100.0%","1","100.0%"
"Kenny Pickett","LV","2","4.4%","1","3.6%","0","0.0%","2","4.4%","1","3.6%","0","0.0%"
"Aidan O'Connell","LV","2","9.1%","1","10.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%"
"Joe Milton III","DAL","2","8.3%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%"
"Derrick Henry","BAL","1","100.0%","0","0.0%","0","0.0%","1","100.0%","0","0.0%","0","0.0%"
"Christian McCaffrey","SF","1","100.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%"
"Nick Mullens","JAX","1","33.3%","1","33.3%","0","0.0%","0","0.0%","0","0.0%","0","0.0%"
"Cooper Rush","BAL","1","1.9%","1","2.9%","0","0.0%","1","1.9%","1","2.9%","0","0.0%"
"DJ Moore","CHI","1","100.0%","1","100.0%","1","100.0%","1","100.0%","1","100.0%","1","100.0%"
"Gunner Olszewski","NYG","1","50.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%"
"Breece Hall","NYJ","1","100.0%","1","100.0%","1","100.0%","1","100.0%","1","100.0%","1","100.0%"
"Chris Olave","NO","1","100.0%","0","0.0%","0","0.0%","1","100.0%","0","0.0%","0","0.0%"
"Clayton Tune","GB","1","6.7%","0","0.0%","0","0.0%","1","6.7%","0","0.0%","0","0.0%"
"Isaiah Williams","NYJ","1","100.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%"
"Tyler Warren","IND","1","100.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%"
"RJ Harvey","DEN","1","100.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%"
