"Team","Rank","Team","Week 1 Opp","Week 1 Opp Pts Allowed","Week 1 Rank","Week 2 Opp","Week 2 Opp Pts Allowed","Week 2 Rank","Week 3 Opp","Week 3 Opp Pts Allowed","Week 3 Rank","Week 4 Opp","Week 4 Opp Pts Allowed","Week 4 Rank","Week 5 Opp","Week 5 Opp Pts Allowed","Week 5 Rank","Week 6 Opp","Week 6 Opp Pts Allowed","Week 6 Rank","Week 7 Opp","Week 7 Opp Pts Allowed","Week 7 Rank","Week 8 Opp","Week 8 Opp Pts Allowed","Week 8 Rank","Week 9 Opp","Week 9 Opp Pts Allowed","Week 9 Rank","Week 10 Opp","Week 10 Opp Pts Allowed","Week 10 Rank","Week 11 Opp","Week 11 Opp Pts Allowed","Week 11 Rank","Week 12 Opp","Week 12 Opp Pts Allowed","Week 12 Rank","Week 13 Opp","Week 13 Opp Pts Allowed","Week 13 Rank","Week 14 Opp","Week 14 Opp Pts Allowed","Week 14 Rank","Week 15 Opp","Week 15 Opp Pts Allowed","Week 15 Rank","Week 16 Opp","Week 16 Opp Pts Allowed","Week 16 Rank","Week 17 Opp","Week 17 Opp Pts Allowed","Week 17 Rank","Week 18 Opp","Week 18 Opp Pts Allowed","Week 18 Rank"
"Seattle Seahawks","11","SEA","NE","24.7","20","@ARI","25.3","18","@WAS","29.7","8","LAC","22.6","24","SF","27.0","13","@DEN","21.4","30","KC","22.7","23","CHI","31.1","2","ARI","25.3","18","@LV","27.9","12","BYE","0","0","@SF","27.0","13","DAL","34.2","1","NYG","28.4","11","@PHI","22.3","26","LAR","28.5","9","@CAR","22.9","22","@LAR","28.5","9"
"New Orleans Saints","12","NO","@DET","31.0","3","@BAL","30.8","4","LV","27.9","12","ATL","28.5","10","MIN","19.9","32","@NYG","28.4","11","PIT","30.3","6","BYE","0","0","CLE","22.4","25","CAR","22.9","22","@CHI","31.1","2","@CIN","21.4","31","GB","26.5","14","@CAR","22.9","22","@TB","25.9","15","ARI","25.3","18","@ATL","28.5","10","TB","25.9","15"
"Tampa Bay Buccaneers","13","TB","@CIN","21.4","31","CLE","22.4","25","MIN","19.9","32","GB","26.5","14","@DAL","34.2","1","PIT","30.3","6","@CAR","22.9","22","ATL","28.5","10","@CHI","31.1","2","BYE","0","0","@DET","31.0","3","CAR","22.9","22","LAC","22.6","24","@BAL","30.8","4","NO","22.9","21","@ATL","28.5","10","LAR","28.5","9","@NO","22.9","21"
"Green Bay Packers","14","GB","@MIN","19.9","32","@NYJ","25.7","17","ATL","28.5","10","@TB","25.9","15","CHI","31.1","2","DAL","34.2","1","@DET","31.0","3","CAR","22.9","22","@NE","24.7","20","MIN","19.9","32","BYE","0","0","@LAR","28.5","9","@NO","22.9","21","BUF","22.2","27","MIA","25.2","19","@CHI","31.1","2","HOU","22.0","28","DET","31.0","3"
"Arizona Cardinals","15","ARI","@LAC","22.6","24","SEA","21.9","29","@SF","27.0","13","@NYG","28.4","11","DET","31.0","3","@LAR","28.5","9","DEN","21.4","30","@DAL","34.2","1","@SEA","21.9","29","LAR","28.5","9","@KC","22.7","23","WAS","29.7","8","PHI","22.3","26","BYE","0","0","NYJ","25.7","17","@NO","22.9","21","LV","27.9","12","SF","27.0","13"
"Indianapolis Colts","16","IND","BAL","30.8","4","@KC","22.7","23","HOU","22.0","28","@WAS","29.7","8","@PIT","30.3","6","TEN","30.0","7","@MIN","19.9","32","@JAX","25.8","16","DAL","34.2","1","MIA","25.2","19","@HOU","22.0","28","NYG","28.4","11","BYE","0","0","@PHI","22.3","26","@TEN","30.0","7","CIN","21.4","31","@CLE","22.4","25","JAX","25.8","16"
"Detroit Lions","17","DET","NO","22.9","21","@BUF","22.2","27","NYJ","25.7","17","@CAR","22.9","22","@ARI","25.3","18","BYE","0","0","GB","26.5","14","MIN","19.9","32","@MIA","25.2","19","NE","24.7","20","TB","25.9","15","CHI","31.1","2","@ATL","28.5","10","TEN","30.0","7","@MIN","19.9","32","NYG","28.4","11","@CHI","31.1","2","@GB","26.5","14"
"Atlanta Falcons","18","ATL","@PIT","30.3","6","CAR","22.9","22","@GB","26.5","14","@NO","22.9","21","BAL","30.8","4","CHI","31.1","2","SF","27.0","13","@TB","25.9","15","CIN","21.4","31","KC","22.7","23","BYE","0","0","@MIN","19.9","32","DET","31.0","3","@CLE","22.4","25","@WAS","29.7","8","TB","25.9","15","NO","22.9","21","@CAR","22.9","22"
"Baltimore Ravens","19","BAL","@IND","30.5","5","NO","22.9","21","@DAL","34.2","1","TEN","30.0","7","@ATL","28.5","10","@CLE","22.4","25","CIN","21.4","31","@BUF","22.2","27","JAX","25.8","16","LAC","22.6","24","@CAR","22.9","22","@HOU","22.0","28","BYE","0","0","TB","25.9","15","@PIT","30.3","6","CLE","22.4","25","@CIN","21.4","31","PIT","30.3","6"
"Buffalo Bills","20","BUF","@HOU","22.0","28","DET","31.0","3","LAC","22.6","24","NE","24.7","20","@LAR","28.5","9","@LV","27.9","12","BYE","0","0","BAL","30.8","4","@MIN","19.9","32","@NYJ","25.7","17","MIA","25.2","19","KC","22.7","23","@NE","24.7","20","@GB","26.5","14","CHI","31.1","2","@DEN","21.4","30","@MIA","25.2","19","NYJ","25.7","17"
"San Francisco 49ers","21","SF","@LAR","28.5","9","MIA","25.2","19","ARI","25.3","18","DEN","21.4","30","@SEA","21.9","29","WAS","29.7","8","@ATL","28.5","10","BYE","0","0","LV","27.9","12","@DAL","34.2","1","MIN","19.9","32","SEA","21.9","29","@NYG","28.4","11","LAR","28.5","9","@LAC","22.6","24","@KC","22.7","23","PHI","22.3","26","@ARI","25.3","18"
"Carolina Panthers","22","CAR","CHI","31.1","2","@ATL","28.5","10","@CLE","22.4","25","DET","31.0","3","BYE","0","0","@PHI","22.3","26","TB","25.9","15","@GB","26.5","14","DEN","21.4","30","@NO","22.9","21","BAL","30.8","4","@TB","25.9","15","@MIN","19.9","32","NO","22.9","21","CIN","21.4","31","@PIT","30.3","6","SEA","21.9","29","ATL","28.5","10"
"Los Angeles Rams","23","LAR","SF","27.0","13","NYG","28.4","11","@DEN","21.4","30","@PHI","22.3","26","BUF","22.2","27","ARI","25.3","18","@LV","27.9","12","LAC","22.6","24","@WAS","29.7","8","@ARI","25.3","18","BYE","0","0","GB","26.5","14","KC","22.7","23","@SF","27.0","13","DAL","34.2","1","@SEA","21.9","29","@TB","25.9","15","SEA","21.9","29"
"New England Patriots","24","NE","@SEA","21.9","29","PIT","30.3","6","@JAX","25.8","16","@BUF","22.2","27","LV","27.9","12","NYJ","25.7","17","@CHI","31.1","2","@MIA","25.2","19","GB","26.5","14","@DET","31.0","3","BYE","0","0","@LAC","22.6","24","BUF","22.2","27","MIN","19.9","32","@KC","22.7","23","@NYJ","25.7","17","DEN","21.4","30","MIA","25.2","19"
"Miami Dolphins","25","MIA","@LV","27.9","12","@SF","27.0","13","KC","22.7","23","@MIN","19.9","32","CIN","21.4","31","BYE","0","0","@NYJ","25.7","17","NE","24.7","20","DET","31.0","3","@IND","30.5","5","@BUF","22.2","27","NYJ","25.7","17","@DEN","21.4","30","CHI","31.1","2","@GB","26.5","14","LAC","22.6","24","BUF","22.2","27","@NE","24.7","20"
"Pittsburgh Steelers","26","PIT","ATL","28.5","10","@NE","24.7","20","CIN","21.4","31","@CLE","22.4","25","IND","30.5","5","@TB","25.9","15","@NO","22.9","21","CLE","22.4","25","BYE","0","0","@CIN","21.4","31","@PHI","22.3","26","DEN","21.4","30","HOU","22.0","28","@JAX","25.8","16","BAL","30.8","4","CAR","22.9","22","@TEN","30.0","7","@BAL","30.8","4"
"Denver Broncos","27","DEN","@KC","22.7","23","JAX","25.8","16","LAR","28.5","9","@SF","27.0","13","@LAC","22.6","24","SEA","21.9","29","@ARI","25.3","18","KC","22.7","23","@CAR","22.9","22","BYE","0","0","LV","27.9","12","@PIT","30.3","6","MIA","25.2","19","@NYJ","25.7","17","@LV","27.9","12","BUF","22.2","27","@NE","24.7","20","LAC","22.6","24"
"New York Jets","28","NYJ","@TEN","30.0","7","GB","26.5","14","@DET","31.0","3","@CHI","31.1","2","CLE","22.4","25","@NE","24.7","20","MIA","25.2","19","LV","27.9","12","@KC","22.7","23","BUF","22.2","27","@LAC","22.6","24","@MIA","25.2","19","BYE","0","0","DEN","21.4","30","@ARI","25.3","18","NE","24.7","20","MIN","19.9","32","@BUF","22.2","27"
"Kansas City Chiefs","29","KC","DEN","21.4","30","IND","30.5","5","@MIA","25.2","19","@LV","27.9","12","BYE","0","0","LAC","22.6","24","@SEA","21.9","29","@DEN","21.4","30","NYJ","25.7","17","@ATL","28.5","10","ARI","25.3","18","@BUF","22.2","27","@LAR","28.5","9","@CIN","21.4","31","NE","24.7","20","SF","27.0","13","@LAC","22.6","24","LV","27.9","12"
"Los Angeles Chargers","30","LAC","ARI","25.3","18","LV","27.9","12","@BUF","22.2","27","@SEA","21.9","29","DEN","21.4","30","@KC","22.7","23","BYE","0","0","@LAR","28.5","9","HOU","22.0","28","@BAL","30.8","4","NYJ","25.7","17","NE","24.7","20","@TB","25.9","15","@LV","27.9","12","SF","27.0","13","@MIA","25.2","19","KC","22.7","23","@DEN","21.4","30"
"Chicago Bears","31","CHI","@CAR","22.9","22","MIN","19.9","32","PHI","22.3","26","NYJ","25.7","17","@GB","26.5","14","@ATL","28.5","10","NE","24.7","20","@SEA","21.9","29","TB","25.9","15","BYE","0","0","NO","22.9","21","@DET","31.0","3","JAX","25.8","16","@MIA","25.2","19","@BUF","22.2","27","GB","26.5","14","DET","31.0","3","@MIN","19.9","32"
"Las Vegas Raiders","32","LV","MIA","25.2","19","@LAC","22.6","24","@NO","22.9","21","KC","22.7","23","@NE","24.7","20","BUF","22.2","27","LAR","28.5","9","@NYJ","25.7","17","@SF","27.0","13","SEA","21.9","29","@DEN","21.4","30","@CLE","22.4","25","BYE","0","0","LAC","22.6","24","DEN","21.4","30","TEN","30.0","7","@ARI","25.3","18","@KC","22.7","23"
