"Team","Rank","Team","Week 1 Opp","Week 1 Opp Pts Allowed","Week 1 Rank","Week 2 Opp","Week 2 Opp Pts Allowed","Week 2 Rank","Week 3 Opp","Week 3 Opp Pts Allowed","Week 3 Rank","Week 4 Opp","Week 4 Opp Pts Allowed","Week 4 Rank","Week 5 Opp","Week 5 Opp Pts Allowed","Week 5 Rank","Week 6 Opp","Week 6 Opp Pts Allowed","Week 6 Rank","Week 7 Opp","Week 7 Opp Pts Allowed","Week 7 Rank","Week 8 Opp","Week 8 Opp Pts Allowed","Week 8 Rank","Week 9 Opp","Week 9 Opp Pts Allowed","Week 9 Rank","Week 10 Opp","Week 10 Opp Pts Allowed","Week 10 Rank","Week 11 Opp","Week 11 Opp Pts Allowed","Week 11 Rank","Week 12 Opp","Week 12 Opp Pts Allowed","Week 12 Rank","Week 13 Opp","Week 13 Opp Pts Allowed","Week 13 Rank","Week 14 Opp","Week 14 Opp Pts Allowed","Week 14 Rank","Week 15 Opp","Week 15 Opp Pts Allowed","Week 15 Rank","Week 16 Opp","Week 16 Opp Pts Allowed","Week 16 Rank","Week 17 Opp","Week 17 Opp Pts Allowed","Week 17 Rank","Week 18 Opp","Week 18 Opp Pts Allowed","Week 18 Rank"
"Philadelphia Eagles","1","PHI","WAS","29.7","8","@TEN","30.0","7","@CHI","31.1","2","LAR","28.5","9","@JAX","25.8","16","CAR","22.9","22","DAL","34.2","1","@WAS","29.7","8","NYG","28.4","11","BYE","0","0","PIT","30.3","6","@DAL","34.2","1","@ARI","25.3","18","IND","30.5","5","SEA","21.9","29","HOU","22.0","28","@SF","27.0","13","@NYG","28.4","11"
"Houston Texans","2","HOU","BUF","22.2","27","CIN","21.4","31","@IND","30.5","5","DAL","34.2","1","@TEN","30.0","7","@JAX","25.8","16","NYG","28.4","11","BYE","0","0","@LAC","22.6","24","@CLE","22.4","25","IND","30.5","5","BAL","30.8","4","@PIT","30.3","6","@WAS","29.7","8","JAX","25.8","16","@PHI","22.3","26","@GB","26.5","14","TEN","30.0","7"
"Minnesota Vikings","3","MIN","GB","26.5","14","@CHI","31.1","2","@TB","25.9","15","MIA","25.2","19","@NO","22.9","21","BYE","0","0","IND","30.5","5","@DET","31.0","3","BUF","22.2","27","@GB","26.5","14","@SF","27.0","13","ATL","28.5","10","CAR","22.9","22","@NE","24.7","20","DET","31.0","3","WAS","29.7","8","@NYJ","25.7","17","CHI","31.1","2"
"Jacksonville Jaguars","4","JAX","CLE","22.4","25","@DEN","21.4","30","NE","24.7","20","@CIN","21.4","31","PHI","22.3","26","HOU","22.0","28","BYE","0","0","IND","30.5","5","@BAL","30.8","4","@TEN","30.0","7","@NYG","28.4","11","TEN","30.0","7","@CHI","31.1","2","PIT","30.3","6","@HOU","22.0","28","@DAL","34.2","1","WAS","29.7","8","@IND","30.5","5"
"Tennessee Titans","5","TEN","NYJ","25.7","17","PHI","22.3","26","@NYG","28.4","11","@BAL","30.8","4","HOU","22.0","28","@IND","30.5","5","CLE","22.4","25","@CIN","21.4","31","BYE","0","0","JAX","25.8","16","@DAL","34.2","1","@JAX","25.8","16","WAS","29.7","8","@DET","31.0","3","IND","30.5","5","@LV","27.9","12","PIT","30.3","6","@HOU","22.0","28"
"New York Giants","6","NYG","DAL","34.2","1","@LAR","28.5","9","TEN","30.0","7","ARI","25.3","18","@WAS","29.7","8","NO","22.9","21","@HOU","22.0","28","BYE","0","0","@PHI","22.3","26","WAS","29.7","8","JAX","25.8","16","@IND","30.5","5","SF","27.0","13","@SEA","21.9","29","CLE","22.4","25","@DET","31.0","3","@DAL","34.2","1","PHI","22.3","26"
"Cleveland Browns","7","CLE","@JAX","25.8","16","@TB","25.9","15","CAR","22.9","22","PIT","30.3","6","@NYJ","25.7","17","BAL","30.8","4","@TEN","30.0","7","@PIT","30.3","6","@NO","22.9","21","HOU","22.0","28","BYE","0","0","LV","27.9","12","CIN","21.4","31","ATL","28.5","10","@NYG","28.4","11","@BAL","30.8","4","IND","30.5","5","@CIN","21.4","31"
"Dallas Cowboys","8","DAL","@NYG","28.4","11","WAS","29.7","8","BAL","30.8","4","@HOU","22.0","28","TB","25.9","15","@GB","26.5","14","@PHI","22.3","26","ARI","25.3","18","@IND","30.5","5","SF","27.0","13","TEN","30.0","7","PHI","22.3","26","@SEA","21.9","29","BYE","0","0","@LAR","28.5","9","JAX","25.8","16","NYG","28.4","11","@WAS","29.7","8"
"Cincinnati Bengals","9","CIN","TB","25.9","15","@HOU","22.0","28","@PIT","30.3","6","JAX","25.8","16","@MIA","25.2","19","BYE","0","0","@BAL","30.8","4","TEN","30.0","7","@ATL","28.5","10","PIT","30.3","6","@WAS","29.7","8","NO","22.9","21","@CLE","22.4","25","KC","22.7","23","@CAR","22.9","22","@IND","30.5","5","BAL","30.8","4","CLE","22.4","25"
"Washington Commanders","10","WAS","@PHI","22.3","26","@DAL","34.2","1","SEA","21.9","29","IND","30.5","5","NYG","28.4","11","@SF","27.0","13","BYE","0","0","PHI","22.3","26","LAR","28.5","9","@NYG","28.4","11","CIN","21.4","31","@ARI","25.3","18","@TEN","30.0","7","HOU","22.0","28","ATL","28.5","10","@MIN","19.9","32","@JAX","25.8","16","DAL","34.2","1"
