"Player","Rank","Total Points","Team","2025","2024","2023","2022","2021","2020","2019","2018","2017","2016"
"Travis Kelce","1","2038.7599999999998","KC","4","6","3","1","2","1","1","1","1","1"
"George Kittle","2","1430.1000000000001","SF","13","2","5","3","4","19","2","3","20",""
"Mark Andrews","3","1189.3000000000002","BAL","19","5","12","4","1","5","4","17","",""
"Hunter Henry","4","1043","NE","6","12","17","21","9","13","9","","14","16"
"Evan Engram","5","982.3","DEN","29","32","2","6","23","16","18","12","5",""
"Dallas Goedert","6","884.2","PHI","3","25","14","12","10","20","10","20","",""
"T.J. Hockenson","7","821.5","MIN","26","33","4","2","15","4","31","","",""
"David Njoku","8","799.6","LAC","32","11","6","13","22","45","83","9","21",""
"Darren Waller","9","779.9","CAR","30","","20","28","18","2","3","161","","135"
"Dalton Schultz","10","767.1","HOU","12","21","10","10","3","14","113","71","",""
"Mike Gesicki","11","702.8000000000001","CIN","40","14","36","22","11","7","11","58","",""
"Trey McBride","12","653.2","ARI","1","3","9","40","","","","","",""
"Noah Fant","13","627.1","NO","39","27","33","18","12","12","16","","",""
"Kyle Pitts Sr.","14","592.5","ATL","2","15","13","33","7","","","","",""
"Cole Kmet","15","566.7","CHI","36","18","7","7","21","43","","","",""
"Dawson Knox","16","549.2","BUF","28","39","40","14","8","36","30","","",""
"Pat Freiermuth","17","531.1","PIT","22","10","28","8","13","","","","",""
"Juwan Johnson","18","484.59999999999997","NO","10","17","25","11","43","188","","","",""
"Sam LaPorta","19","430.8","DET","27","7","1","","","","","","",""
"Jake Ferguson","20","402.5","DAL","9","29","8","47","","","","","",""
"Cade Otton","21","371.9","TB","25","13","18","27","","","","","",""
"Brock Bowers","22","362.9","LV","8","1","","","","","","","",""
"Chig Okonkwo","23","351.2","WAS","23","22","21","23","","","","","",""
"Isaiah Likely","24","310.3","NYG","47","16","22","26","","","","","",""
"Tucker Kraft","25","308.5","GB","18","9","27","","","","","","",""
"Dalton Kincaid","26","305.2","BUF","15","28","11","","","","","","",""
"Colby Parkinson","27","273","LAR","17","38","38","36","91","104","","","",""
"Noah Gray","28","247.29999999999998","KC","61","20","34","37","79","","","","",""
"Tommy Tremble","29","230.2","CAR","43","42","39","45","47","","","","",""
"AJ Barner","30","184.8","SEA","14","34","","","","","","","",""
"Brenton Strange","31","178.1","JAX","24","30","77","","","","","","",""
"Theo Johnson","32","158.9","NYG","20","37","","","","","","","",""
"Harold Fannin Jr.","33","153.4","CLE","5","","","","","","","","",""
"Tyler Warren","34","150.5","IND","7","","","","","","","","",""
"Michael Mayer","35","140.3","LV","41","57","32","","","","","","",""
"Colston Loveland","36","139.1","CHI","11","","","","","","","","",""
"Greg Dulcich","37","128.7","MIA","45","93","97","30","","","","","",""
"Oronde Gadsden","38","109.9","LAC","16","","","","","","","","",""
"Luke Musgrave","39","103.4","GB","55","85","30","","","","","","",""
"Darnell Washington","40","103","PIT","38","49","85","","","","","","",""
"Ja'Tavion Sanders","41","96.2","CAR","52","35","","","","","","","",""
"Charlie Kolar","42","80.10000000000001","LAC","58","61","72","96","","","","","",""
"Jake Tonges","43","76.3","SF","31","","","","","","","","",""
"Gunnar Helm","44","69.7","TEN","33","","","","","","","","",""
"Mason Taylor","45","66.9","NYJ","34","","","","","","","","",""
"Terrance Ferguson","46","46.6","LAR","49","","","","","","","","",""
"Ben Sinnott","47","34.2","WAS","68","77","","","","","","","",""
"Elijah Arroyo","48","29.4","SEA","60","","","","","","","","",""
