"Name","Team","Games Played","TE PTS%","TGT%","REC%","YD%","TD%"
"Kylen Granson","PHI","17","4.1","1.9","2.2","1.1","0.0"
"Josiah Deguara","ARI","12","3.8","1.1","1.0","0.6","4.5"
"Zaire Mitchell-Paden","BAL","8","3.4","1.3","1.2","1.0","0.0"
"Cam Grandy","CIN","5","3.3","1.3","1.7","0.6","0.0"
"Moliki Matavao","NO","6","3.1","1.0","1.4","0.7","0.0"
"Jelani Woods","NYJ","4","3.0","2.4","1.2","0.5","0.0"
"Ben Yurosek","MIN","12","3.0","0.9","1.0","0.6","0.0"
"Tucker Fisk","LAC","10","3.0","1.2","0.9","0.8","0.0"
"Jared Wiley","KC","5","2.8","0.8","1.2","0.5","0.0"
"Durham Smythe","CHI","17","2.2","1.1","1.2","0.6","0.0"
"Colson Yankoff","WAS","14","2.1","0.8","0.8","0.6","0.0"
